iter	Logloss
0	0.5617564867
1	0.4342894035
2	0.3519789741
3	0.2867328476
4	0.2339881735
5	0.2010712916
6	0.1802039533
7	0.1438276987
8	0.1166895913
9	0.09500218022
10	0.07988693911
11	0.06764842487
12	0.05951426703
13	0.05446142598
14	0.04922871676
15	0.0464011741
16	0.04290513517
17	0.04018736845
18	0.03723367618
19	0.03603660002
20	0.03437945103
21	0.03323952315
22	0.03207479839
23	0.03109047846
24	0.03045841232
25	0.03015659848
26	0.02968140204
27	0.02924448692
28	0.02865622567
29	0.02846114791
30	0.02810413706
31	0.02795278079
32	0.02780222571
33	0.02767806108
34	0.02765778139
35	0.02758567238
36	0.02747327391
37	0.0272505827
38	0.02714268235
39	0.02711577387
40	0.02710904261
41	0.0269202404
42	0.02682662862
43	0.02651339139
44	0.0263800125
45	0.02616317018
46	0.02609393751
47	0.02601185235
48	0.0260085419
49	0.02593342081
50	0.02586217022
51	0.02578115915
52	0.02577473861
53	0.02576794623
54	0.02554890007
55	0.02554619816
56	0.02553304088
57	0.02538064363
58	0.02537650039
59	0.02537320668
60	0.02536873223
61	0.02533349201
62	0.02533348963
63	0.02518586816
64	0.02507329737
65	0.0250732927
66	0.02507111816
67	0.02506438893
68	0.02506323452
69	0.02506096643
70	0.02505611251
71	0.02505610987
72	0.02505205923
73	0.02504171044
74	0.02500759436
75	0.02500334301
76	0.02492974365
77	0.02483310182
78	0.02483310118
79	0.02477525836
80	0.02475877127
81	0.02475319062
82	0.02475318998
83	0.02475197272
84	0.02475197235
85	0.02475197235
86	0.02467502834
87	0.02467428254
88	0.02466877799
89	0.02466876179
90	0.02466402276
91	0.02465461335
92	0.02462523388
93	0.02462225074
94	0.0246222224
95	0.02461843583
96	0.02461835869
97	0.02459152237
98	0.02458108727
99	0.0245753952
100	0.02454296655
101	0.02453990786
102	0.02452566071
103	0.02449679684
104	0.02448805154
105	0.02447924933
106	0.02445098236
107	0.0244430326
108	0.02442331429
109	0.02439215838
110	0.02438443545
